timestamp,open,low,high,close,volume
2001-04-16,312,308,312,312,1651259
2001-04-17,308,303,312,312,707682
2001-04-18,303,289,303,298,3824312
2001-04-19,298,252,303,262,16396276
2001-04-20,252,225,252,243,17889910
2001-04-23,229,229,243,239,9498817
2001-04-24,239,234,239,239,3208487
2001-04-25,239,239,266,252,50466136
2001-04-26,239,239,266,252,50466136
2001-04-27,248,248,262,262,42402795
2001-04-30,262,252,271,271,49233942
2001-05-01,271,262,280,266,79205549
2001-05-02,262,262,271,271,19616721
2001-05-03,271,266,280,280,43163200
2001-05-04,275,275,280,280,16137010
2001-05-07,280,280,280,280,0
2001-05-08,280,275,280,275,6009866
2001-05-09,271,266,275,275,8336196
2001-05-10,271,262,271,266,8700908
2001-05-11,262,262,266,266,3638423
2001-05-14,266,257,266,262,2645384
2001-05-15,262,257,266,262,3629183
2001-05-16,266,266,271,271,8278037
2001-05-17,275,266,275,271,5918008
2001-05-18,271,266,271,266,2010535
2001-05-21,262,262,271,266,3579721
2001-05-22,271,266,271,271,2681258
2001-05-23,266,266,271,271,1755074
2001-05-24,271,271,271,271,0
2001-05-25,271,271,280,275,19900446
2001-05-28,275,271,275,271,11054958
2001-05-29,280,280,344,340,156482092
2001-05-30,349,344,377,349,157442518
2001-05-31,354,349,377,349,125064139
2001-06-01,349,326,358,340,47144050
2001-06-04,340,340,340,340,0
2001-06-05,331,312,349,349,75620935
2001-06-06,354,354,367,354,75351886
2001-06-07,354,349,363,354,22077304
2001-06-08,349,349,354,354,11256066
2001-06-11,354,349,358,358,12729045
2001-06-12,358,358,367,358,33188789
2001-06-13,363,354,363,354,12482281
2001-06-14,354,331,358,331,54303493
2001-06-15,331,321,340,331,30203695
2001-06-18,331,331,344,344,15461939
2001-06-19,340,335,344,335,21448434
2001-06-20,340,340,349,344,6878435
2001-06-21,349,340,354,344,9866247
2001-06-22,344,340,344,344,3297626
2001-06-25,344,340,349,344,5885940
2001-06-26,340,340,349,349,4723862
2001-06-27,344,344,354,349,8637858
2001-06-28,349,335,349,344,8184549
2001-06-29,344,340,354,349,12505109
2001-07-02,349,340,349,349,6062045
2001-07-03,344,344,354,349,4453725
2001-07-04,344,340,344,344,1723005
2001-07-05,344,340,349,349,3041621
2001-07-06,349,344,354,354,5284790
2001-07-09,349,344,349,349,6176188
2001-07-10,349,349,386,381,117387794
2001-07-11,381,372,390,377,51582013
2001-07-12,372,363,377,367,21018497
2001-07-13,367,367,377,367,23745956
2001-07-16,372,363,372,367,12876887
2001-07-17,367,363,372,367,23963370
2001-07-18,367,363,377,377,32314785
2001-07-19,381,377,409,404,217354750
2001-07-20,404,395,413,395,87052020
2001-07-23,418,418,446,423,219394636
2001-07-24,436,400,441,409,153748655
2001-07-25,409,390,423,409,87115613
2001-07-26,404,400,423,404,71550402
2001-07-27,400,390,409,395,34469901
2001-07-30,400,395,409,409,18326369
2001-07-31,409,395,409,400,22987181
2001-08-01,400,395,404,400,14591196
2001-08-02,400,377,400,381,18210052
2001-08-03,381,367,381,381,20830434
2001-08-06,381,381,390,386,27024016
2001-08-07,386,386,404,395,33454034
2001-08-08,395,395,418,418,57860930
2001-08-09,423,390,432,400,145264073
2001-08-10,400,400,418,418,46206996
2001-08-13,423,418,436,432,76957488
2001-08-14,441,423,446,427,55963993
2001-08-15,427,413,427,418,33966044
2001-08-16,418,413,423,418,8748195
2001-08-17,418,418,418,418,0
2001-08-20,423,418,432,432,37318025
2001-08-21,436,427,436,432,30208044
2001-08-22,432,427,436,432,28317085
2001-08-23,427,427,432,427,10229872
2001-08-24,427,427,432,432,8540565
2001-08-27,432,418,436,418,23494843
2001-08-28,418,413,423,418,10183128
2001-08-29,413,404,413,409,6944746
2001-08-30,404,404,413,413,8023119
2001-08-31,413,409,413,413,7385553
2001-09-03,413,404,413,404,9779825
2001-09-04,400,400,418,418,24334061
2001-09-05,418,404,418,409,40032982
2001-09-06,404,404,413,409,20754339
2001-09-07,409,404,409,409,4495034
2001-09-10,404,400,404,404,7472519
2001-09-11,404,404,409,404,12412164
2001-09-12,386,372,395,381,60159539
2001-09-13,386,377,386,377,12859494
2001-09-14,377,354,381,354,35927119
2001-09-17,349,317,349,321,48621378
2001-09-18,321,321,340,331,45086770
2001-09-19,331,331,363,358,58611551
2001-09-20,344,340,377,372,80928011
2001-09-21,363,358,372,358,49585066
2001-09-24,358,358,358,358,0
2001-09-25,363,354,372,354,29333496
2001-09-26,354,340,354,344,31836474
2001-09-27,340,335,344,340,15448894
2001-09-28,340,340,340,340,0
2001-10-01,331,317,335,321,34329126
2001-10-02,317,303,317,312,52350028
2001-10-03,312,298,321,317,47008167
2001-10-04,326,317,335,335,44624222
2001-10-05,335,326,335,326,16033195
2001-10-08,321,294,321,303,26540269
2001-10-09,303,303,312,308,23331782
2001-10-10,308,303,312,308,13632944
2001-10-11,312,303,317,308,17007209
2001-10-12,308,308,321,321,21578882
2001-10-15,321,321,321,321,0
2001-10-16,317,312,321,312,10168452
2001-10-17,312,308,321,321,15709791
2001-10-18,317,317,331,326,26257088
2001-10-19,321,321,340,335,51243391
2001-10-22,335,335,349,349,49339932
2001-10-23,354,349,363,349,47025560
2001-10-24,349,331,354,340,21252218
2001-10-25,331,331,340,335,10430436
2001-10-26,340,335,340,335,7324677
2001-10-29,335,331,340,335,8899841
2001-10-30,331,321,331,326,14028638
2001-10-31,321,321,340,335,20953817
2001-11-01,335,331,340,340,9016701
2001-11-02,340,335,340,340,11365860
2001-11-05,335,331,335,331,7535569
2001-11-06,331,331,349,349,21285373
2001-11-07,349,344,354,344,6145206
2001-11-08,349,349,358,354,14706969
2001-11-09,354,354,354,354,0
2001-11-12,340,335,344,340,6284351
2001-11-13,335,335,349,344,15622826
2001-11-14,349,349,354,349,12515436
2001-11-15,344,340,349,344,6627322
2001-11-16,344,340,349,344,12039843
2001-11-19,344,340,344,340,9957017
2001-11-20,344,335,349,340,10811997
2001-11-21,340,335,344,340,10744056
2001-11-22,335,331,335,335,2170335
2001-11-23,331,331,335,335,6466979
2001-11-26,335,331,340,331,2182836
2001-11-27,335,331,335,335,8759066
2001-11-28,331,326,340,331,22845862
2001-11-29,326,321,326,326,9995608
2001-11-30,321,321,326,326,1089787
2001-12-03,326,321,326,326,5483724
2001-12-04,321,317,321,321,7132809
2001-12-05,321,312,321,321,3606354
2001-12-06,321,321,335,326,19877618
2001-12-07,326,321,331,321,1076199
2001-12-10,326,321,326,321,1295243
2001-12-11,321,321,326,326,1105550
2001-12-12,326,321,326,326,4123256
2001-12-13,326,321,331,326,733772
2001-12-14,326,326,326,326,0
2001-12-17,326,326,326,326,0
2001-12-18,326,326,326,326,0
2001-12-19,326,321,326,326,298400
2001-12-20,326,326,335,335,8483494
2001-12-21,331,331,344,340,14068316
2001-12-24,340,340,340,340,0
2001-12-25,340,340,340,340,0
2001-12-26,335,335,344,340,7585574
2001-12-27,340,335,340,335,4415134
2001-12-28,335,326,335,331,12400207
2001-12-31,331,331,331,331,0
2002-01-01,331,331,331,331,0
2002-01-02,326,321,326,326,11191385
2002-01-03,326,326,326,326,0
2002-01-04,321,321,335,331,26018476
2002-01-07,335,331,340,335,24893358
2002-01-08,335,321,335,321,10139101
2002-01-09,326,321,331,331,7091500
2002-01-10,326,326,340,340,24897163
2002-01-11,340,331,354,349,88469559
2002-01-14,349,340,367,367,67737504
2002-01-15,367,363,390,390,113996136
2002-01-16,390,372,404,377,226281768
2002-01-17,372,363,381,381,14021572
2002-01-18,381,372,386,377,11408255
2002-01-21,377,372,377,377,4960300
2002-01-22,372,367,377,372,3580264
2002-01-23,377,372,386,381,21769663
2002-01-24,381,381,395,390,101242088
2002-01-25,390,386,400,395,38632836
2002-01-28,395,381,404,395,49767694
2002-01-29,395,395,409,404,41051567
2002-01-30,400,395,404,404,10679375
2002-01-31,404,404,404,404,0
2002-02-01,404,395,404,395,13688385
2002-02-04,395,390,395,395,1234911
2002-02-05,390,386,400,400,8971044
2002-02-06,395,390,395,390,6455021
2002-02-07,390,377,390,381,9347171
2002-02-08,381,372,390,386,12003970
2002-02-11,390,381,390,381,912051
2002-02-12,381,381,381,381,0
2002-02-13,386,386,386,386,6171296
2002-02-14,386,386,390,386,2316546
2002-02-15,390,390,395,395,16764793
2002-02-18,395,395,418,418,71323204
2002-02-19,418,404,418,413,35409130
2002-02-20,409,409,418,413,28510584
2002-02-21,413,413,432,427,58786026
2002-02-22,427,427,427,427,0
2002-02-25,432,409,432,413,26691372
2002-02-26,413,413,418,418,5705486
2002-02-27,423,423,427,427,8842770
2002-02-28,427,413,427,418,21599536
2002-03-01,418,409,418,418,5701138
2002-03-04,418,418,427,427,13360090
2002-03-05,423,418,432,427,17513240
2002-03-06,427,427,436,432,38223010
2002-03-07,432,432,441,441,62205948
2002-03-08,441,427,441,427,42195164
2002-03-11,427,427,432,427,5032590
2002-03-12,427,413,427,418,10430436
2002-03-13,418,418,432,423,12237146
2002-03-14,423,423,427,423,2444276
2002-03-15,423,423,423,423,0
2002-03-18,423,418,423,418,7190424
2002-03-19,418,413,418,413,22340918
2002-03-20,418,413,418,418,7381205
2002-03-21,418,413,423,413,24562889
2002-03-22,418,404,418,404,23642684
2002-03-25,404,404,418,409,14404764
2002-03-26,413,413,423,413,19939581
2002-03-27,418,409,418,409,11274002
2002-03-28,409,409,418,418,10477180
2002-03-29,418,418,418,418,0
2002-04-01,413,409,418,413,2957373
2002-04-02,413,413,418,418,11957226
2002-04-03,418,413,418,413,3665599
2002-04-04,413,409,413,413,14569455
2002-04-05,413,413,427,427,42475085
2002-04-08,432,427,441,436,36195625
2002-04-09,436,432,446,432,51842910
2002-04-10,436,432,441,432,23430162
2002-04-11,436,436,487,473,173943154
2002-04-12,482,482,528,528,48436033
2002-04-15,528,528,551,528,45916205
2002-04-16,528,505,551,551,63813725
2002-04-17,528,528,574,551,35375974
2002-04-18,551,482,551,528,28051840
2002-04-19,528,482,528,505,9997239
2002-04-22,505,505,528,505,6696351
2002-04-23,505,505,551,528,24729754
2002-04-24,528,528,551,551,6574055
2002-04-25,551,551,597,574,37085392
2002-04-26,574,528,574,551,11382166
2002-04-29,528,505,528,505,21784882
2002-04-30,505,505,528,505,7611120
2002-05-01,528,505,528,528,2293717
2002-05-02,505,505,528,505,6628409
2002-05-03,505,505,528,528,6369686
2002-05-06,528,505,528,505,10310858
2002-05-07,505,505,551,551,21803906
2002-05-08,551,528,551,528,2141527
2002-05-09,528,528,528,528,0
2002-05-10,551,528,551,528,3581895
2002-05-13,528,505,528,528,423413
2002-05-14,528,505,528,528,8923757
2002-05-15,528,528,528,528,16145706
2002-05-16,528,505,528,505,7321959
2002-05-17,528,528,551,551,2891606
2002-05-20,528,528,528,528,972927
2002-05-21,528,505,528,505,158712
2002-05-22,528,482,528,505,12237690
2002-05-23,482,459,505,505,11727310
2002-05-24,482,482,505,505,3884644
2002-05-27,482,482,505,505,379930
2002-05-28,505,505,505,505,5240764
2002-05-29,505,482,528,528,6008779
2002-05-30,528,505,528,528,30604824
2002-05-31,528,528,528,528,3471014
2002-06-03,528,505,528,528,523967
2002-06-04,505,505,528,528,6088135
2002-06-05,505,505,505,505,4592327
2002-06-06,505,505,505,505,577777
2002-06-07,505,505,528,528,5064659
2002-06-10,505,482,505,505,2165986
2002-06-11,505,505,528,528,10281507
2002-06-12,505,505,551,551,22759440
2002-06-13,551,528,574,574,54969867
2002-06-14,574,551,597,574,12467605
2002-06-17,574,551,574,574,13854163
2002-06-18,574,551,574,551,16078852
2002-06-19,551,505,551,551,9729819
2002-06-20,551,528,551,551,6761575
2002-06-21,528,528,551,551,3216096
2002-06-24,528,505,528,528,286442
2002-06-25,505,505,528,528,21718027
2002-06-26,505,482,505,505,12107241
2002-06-27,505,482,528,505,9318907
2002-06-28,505,482,505,505,1230563
2002-07-01,482,459,482,482,7290978
2002-07-02,459,459,482,459,14287904
2002-07-03,459,459,482,459,4148802
2002-07-04,459,459,482,482,254917
2002-07-05,482,459,482,482,1402320
2002-07-08,459,436,459,459,4727123
2002-07-09,459,436,459,436,10000500
2002-07-10,441,418,446,432,10976145
2002-07-11,427,413,427,413,14109081
2002-07-12,418,418,450,441,14631961
2002-07-15,441,432,441,441,4086839
2002-07-16,436,432,455,436,13076908
2002-07-17,427,427,450,441,12225188
2002-07-18,446,441,446,446,5219566
2002-07-19,441,436,446,446,2256757
2002-07-22,432,413,432,423,7736133
2002-07-23,418,409,427,423,7663299
2002-07-24,418,390,418,400,10405977
2002-07-25,409,386,413,390,8498169
2002-07-26,390,367,390,372,14200938
2002-07-29,372,367,390,386,10020611
2002-07-30,400,395,423,400,33533934
2002-07-31,400,390,400,400,4334147
2002-08-01,400,386,404,395,4741799
2002-08-02,386,381,390,386,7475236
2002-08-05,381,377,386,381,5387518
2002-08-06,367,354,367,363,21730528
2002-08-07,367,363,377,367,13605767
2002-08-08,367,340,367,340,27504501
2002-08-09,344,340,354,344,12199099
2002-08-12,349,340,349,344,5366864
2002-08-13,344,344,349,349,4945624
2002-08-14,344,340,344,344,2190989
2002-08-15,344,335,344,335,11660999
2002-08-16,335,335,344,340,4107493
2002-08-19,340,340,344,344,4352084
2002-08-20,344,344,363,363,37008210
2002-08-21,358,354,390,390,77873888
2002-08-22,395,377,395,381,33251839
2002-08-23,381,381,381,381,0
2002-08-26,381,372,390,377,18941107
2002-08-27,377,372,377,377,2258931
2002-08-28,367,344,367,354,15897854
2002-08-29,349,344,363,349,8967240
2002-08-30,349,349,354,354,9828743
2002-09-02,349,349,354,354,4083034
2002-09-03,354,335,354,344,10430436
2002-09-04,340,326,340,335,7685584
2002-09-05,335,335,381,349,141411497
2002-09-06,344,340,354,344,37994726
2002-09-09,349,344,349,349,19243312
2002-09-10,349,340,349,344,8126391
2002-09-11,340,335,340,340,9375978
2002-09-12,344,335,344,340,2027929
2002-09-13,335,331,335,335,3608528
2002-09-16,335,326,335,331,8528063
2002-09-17,331,331,349,344,18974806
2002-09-18,340,331,340,335,11005496
2002-09-19,331,308,331,312,26937050
2002-09-20,308,298,308,308,16284851
2002-09-23,308,308,317,312,7390445
2002-09-24,308,298,308,303,11468588
2002-09-25,298,294,308,308,14172674
2002-09-26,308,303,312,308,14332474
2002-09-27,308,303,308,308,3175331
2002-09-30,303,285,303,289,6335987
2002-10-01,285,275,289,280,3937367
2002-10-02,285,275,289,280,7329025
2002-10-03,275,275,285,275,5723966
2002-10-04,275,275,275,275,0
2002-10-07,271,257,271,257,6068024
2002-10-08,257,248,262,262,3406877
2002-10-09,262,248,262,252,6868651
2002-10-10,243,243,252,252,10787538
2002-10-11,252,225,252,229,13810680
2002-10-14,197,179,202,183,43233860
2002-10-15,183,165,193,193,69679554
2002-10-16,197,193,206,202,63046797
2002-10-17,206,188,206,197,36937007
2002-10-18,197,197,216,211,61683611
2002-10-21,211,206,220,216,38296931
2002-10-22,225,211,225,216,32219123
2002-10-23,206,206,220,220,20571168
2002-10-24,220,216,220,216,3106845
2002-10-25,211,211,216,216,4307514
2002-10-28,216,216,229,229,15692398
2002-10-29,229,225,239,234,24753126
2002-10-30,234,229,234,229,12804053
2002-10-31,234,229,248,248,39220397
2002-11-01,252,239,257,243,27038691
2002-11-04,239,239,252,252,15557601
2002-11-05,252,243,252,243,17471932
2002-11-06,243,234,243,234,13858511
2002-11-07,234,234,239,239,10537512
2002-11-08,229,225,234,229,7633405
2002-11-11,225,225,234,234,2436667
2002-11-12,229,229,239,239,8368808
2002-11-13,239,229,239,234,7492629
2002-11-14,234,234,239,234,2476345
2002-11-15,239,234,243,239,5229350
2002-11-18,229,216,229,225,20883701
2002-11-19,216,216,225,225,13899820
2002-11-20,225,225,234,229,11663173
2002-11-21,229,225,234,229,2304588
2002-11-22,229,229,243,243,30742338
2002-11-25,239,239,252,243,44386697
2002-11-26,239,229,239,234,16538139
2002-11-27,229,225,234,234,5725054
2002-11-28,234,234,239,234,7304023
2002-11-29,234,229,239,239,3579721
2002-12-02,239,239,239,239,0
2002-12-03,229,229,239,239,12855146
2002-12-04,234,229,239,234,10879939
2002-12-05,234,234,234,234,0
2002-12-06,234,234,234,234,0
2002-12-09,234,234,234,234,0
2002-12-10,234,234,234,234,0
2002-12-11,229,225,229,229,5478832
2002-12-12,229,225,234,229,3501995
2002-12-13,229,225,229,229,323403
2002-12-16,229,225,229,229,1472979
2002-12-17,225,216,234,229,19389523
2002-12-18,229,225,248,243,40257462
2002-12-19,239,239,294,289,119664119
2002-12-20,285,271,298,285,63767524
2002-12-23,280,280,303,294,47400055
2002-12-24,294,294,294,294,0
2002-12-25,294,294,294,294,0
2002-12-26,294,294,294,294,0
2002-12-27,298,275,298,280,13707952
2002-12-30,280,280,280,280,0
2002-12-31,280,280,280,280,0
2003-01-01,280,280,280,280,0
2003-01-02,275,257,275,262,17906216
2003-01-03,262,262,271,266,12117569
2003-01-06,257,243,262,252,15141254
2003-01-07,252,252,257,257,11230519
2003-01-08,257,243,257,248,13127457
2003-01-09,239,239,266,266,35860807
2003-01-10,266,262,275,266,35273790
2003-01-13,262,257,262,262,7570898
2003-01-14,262,262,271,271,14813502
2003-01-15,271,262,275,262,11987664
2003-01-16,262,257,266,266,17283325
2003-01-17,266,262,271,266,4854854
2003-01-20,266,262,266,266,2437210
2003-01-21,262,262,262,262,4280338
2003-01-22,257,257,262,262,3842248
2003-01-23,262,257,262,262,5633740
2003-01-24,262,252,262,257,3095975
2003-01-27,252,239,252,252,8986807
2003-01-28,248,243,252,252,4204786
2003-01-29,252,243,252,243,3696037
2003-01-30,248,243,252,252,7418709
2003-01-31,248,243,248,248,790843
2003-02-03,248,248,252,252,1002278
2003-02-04,252,248,262,262,20037960
2003-02-05,257,252,257,257,4928775
2003-02-06,257,257,262,262,4707556
2003-02-07,257,252,257,257,1879543
2003-02-10,252,252,257,257,531577
2003-02-11,252,252,257,257,1443085
2003-02-12,257,257,257,257,0
2003-02-13,257,252,257,257,4241203
2003-02-14,257,252,271,266,22928479
2003-02-17,271,262,271,271,17511610
2003-02-18,266,262,271,271,3359589
2003-02-19,271,262,271,266,3459600
2003-02-20,262,257,266,257,2708434
2003-02-21,262,262,266,262,1565380
2003-02-24,262,262,266,266,841935
2003-02-25,262,257,262,262,1701264
2003-02-26,262,257,262,262,2155116
2003-02-27,262,262,266,266,984885
2003-02-28,266,262,266,266,1958900
2003-03-03,266,266,266,266,0
2003-03-04,262,257,266,266,1244695
2003-03-05,262,257,262,262,2222514
2003-03-06,262,262,266,266,2474171
2003-03-07,257,257,262,262,178823
2003-03-10,257,252,257,252,3694407
2003-03-11,252,243,252,243,1904003
2003-03-12,248,248,252,252,940859
2003-03-13,248,243,252,252,1913786
2003-03-14,252,248,252,252,763123
2003-03-17,248,248,252,248,1215887
2003-03-18,248,248,252,252,5505465
2003-03-19,248,248,252,252,352754
2003-03-20,248,248,262,262,10155407
2003-03-21,262,257,262,262,3366112
2003-03-24,262,257,262,257,3184571
2003-03-25,252,252,262,262,2650276
2003-03-26,262,257,266,266,10665787
2003-03-27,266,266,271,271,21098397
2003-03-28,271,266,271,271,13908516
2003-03-31,266,257,266,262,2201316
2003-04-01,257,252,262,262,5689180
2003-04-02,262,262,262,262,0
2003-04-03,262,262,266,266,4312950
2003-04-04,262,262,271,271,9539582
2003-04-07,271,271,294,294,51766272
2003-04-08,285,280,289,285,22253953
2003-04-09,280,280,312,308,108839620
2003-04-10,308,294,308,303,23925866
2003-04-11,303,303,312,312,34965062
2003-04-14,308,303,317,312,28656795
2003-04-15,312,308,317,317,26815842
2003-04-16,317,317,340,331,65653047
2003-04-17,331,331,340,335,37424014
